vehicle_id,timestamp,failure_event,maintenance_event,label_imminent_fault,time_to_failure_min,risk_score,rf_engine_temp_mean,rf_engine_temp_max,rf_engine_temp_std,rf_engine_temp_rate_per_min,rf_battery_voltage_mean,rf_battery_voltage_min,rf_battery_voltage_drop_per_min,rf_brake_wear_current,rf_brake_wear_rate_per_min,rf_tire_pressure_mean_dev,rf_dtc_count,rf_critical_dtc_present,rf_usage_city,rf_usage_highway,rf_usage_mixed,rf_hour_of_day,rf_day_of_week,rf_window_size,rf_window_span_minutes,sequence_length,lstm_sequence
VEH-001,2025-12-13T11:01:40.076626+00:00,0,0,1,1.0013611333333334,0.1519933333333334,84.27,84.27,0.0,0.0,12.87,12.87,0.0,46.08,0.0,3.5900000000000034,0,0,0,1,0,11,5,1,0.0,1,"[[84.27, 12.87, 46.08, 35.59, 0.0, 0.0, 1.0, 0.0]]"
VEH-001,2025-12-13T11:01:45.077237+00:00,0,0,1,0.9180176166666667,0.13211166666666668,80.74,84.27,3.530000000000001,-84.70964848095565,13.66,12.87,-18.957683371092052,57.81,140.74280122968977,0.46000000000000085,0,0,0,1,0,11,5,2,0.08334351666666667,2,"[[84.27, 12.87, 46.08, 35.59, 0.0, 0.0, 1.0, 0.0], [77.21, 14.45, 57.81, 29.33, 0.0, 0.0, 1.0, 0.0]]"
VEH-001,2025-12-13T11:01:50.080263+00:00,0,0,1,0.83463385,0.13361555555555554,88.88,105.16,11.867032765888307,125.29443041565783,13.153333333333334,12.14,4.378407573165632,36.93,-54.880040129404925,0.06333333333333376,0,0,0,1,0,11,5,3,0.16672728333333334,3,"[[84.27, 12.87, 46.08, 35.59, 0.0, 0.0, 1.0, 0.0], [77.21, 14.45, 57.81, 29.33, 0.0, 0.0, 1.0, 0.0], [105.16, 12.14, 36.93, 31.27, 0.0, 0.0, 1.0, 0.0]]"
VEH-001,2025-12-13T11:01:55.089611+00:00,0,0,1,0.7511447166666667,0.19760958333333334,90.94749999999999,105.16,10.883175949602213,51.47543942793526,13.4925,12.14,-6.554326138339579,67.31,84.8465511688715,-0.5674999999999999,0,0,0,1,0,11,5,4,0.25021641666666666,4,"[[84.27, 12.87, 46.08, 35.59, 0.0, 0.0, 1.0, 0.0], [77.21, 14.45, 57.81, 29.33, 0.0, 0.0, 1.0, 0.0], [105.16, 12.14, 36.93, 31.27, 0.0, 0.0, 1.0, 0.0], [97.15, 14.51, 67.31, 29.54, 0.0, 0.0, 1.0, 0.0]]"
VEH-001,2025-12-13T11:02:00.079126+00:00,0,0,1,0.6679861333333333,0.13140499999999997,89.086,105.16,10.421878141678688,-7.889013873265827,13.584,12.14,-3.2395950506186724,33.61,-37.405324334458186,-0.36000000000000015,0,0,0,1,0,11,5,5,0.33337500000000003,5,"[[84.27, 12.87, 46.08, 35.59, 0.0, 0.0, 1.0, 0.0], [77.21, 14.45, 57.81, 29.33, 0.0, 0.0, 1.0, 0.0], [105.16, 12.14, 36.93, 31.27, 0.0, 0.0, 1.0, 0.0], [97.15, 14.51, 67.31, 29.54, 0.0, 0.0, 1.0, 0.0], [81.64, 13.95, 33.61, 32.47, 0.0, 0.0, 1.0, 0.0]]"
VEH-001,2025-12-13T11:02:05.093384+00:00,0,0,1,0.5844151666666666,0.11549388888888885,88.38333333333333,105.16,9.64269959894819,1.439035385800211,13.673333333333332,12.14,-2.99799038708373,26.04,-48.06378188572636,0.20833333333333273,0,0,0,1,0,11,5,6,0.41694596666666667,6,"[[84.27, 12.87, 46.08, 35.59, 0.0, 0.0, 1.0, 0.0], [77.21, 14.45, 57.81, 29.33, 0.0, 0.0, 1.0, 0.0], [105.16, 12.14, 36.93, 31.27, 0.0, 0.0, 1.0, 0.0], [97.15, 14.51, 67.31, 29.54, 0.0, 0.0, 1.0, 0.0], [81.64, 13.95, 33.61, 32.47, 0.0, 0.0, 1.0, 0.0], [84.87, 14.12, 26.04, 35.05, 0.0, 0.0, 1.0, 0.0]]"
VEH-001,2025-12-13T11:02:10.096948+00:00,0,0,1,0.5010224333333333,0.21643071428571428,86.66428571428571,105.16,9.87062866306304,-15.829277247592483,13.758571428571429,12.14,-2.7981045639683684,75.56,58.92008753270535,-0.0642857142857147,0,0,0,1,0,11,5,7,0.5003387,7,"[[84.27, 12.87, 46.08, 35.59, 0.0, 0.0, 1.0, 0.0], [77.21, 14.45, 57.81, 29.33, 0.0, 0.0, 1.0, 0.0], [105.16, 12.14, 36.93, 31.27, 0.0, 0.0, 1.0, 0.0], [97.15, 14.51, 67.31, 29.54, 0.0, 0.0, 1.0, 0.0], [81.64, 13.95, 33.61, 32.47, 0.0, 0.0, 1.0, 0.0], [84.87, 14.12, 26.04, 35.05, 0.0, 0.0, 1.0, 0.0], [76.35, 14.27, 75.56, 30.3, 0.0, 0.0, 1.0, 0.0]]"
VEH-001,2025-12-13T11:02:15.103433+00:00,0,0,1,0.41758101666666664,0.12329416666666662,88.12,105.16,10.00421786048265,24.050151074290056,13.50375,11.72,1.9699197817260339,16.42,-50.80680063129933,-0.5312500000000004,0,0,0,1,0,11,5,8,0.5837801166666666,8,"[[84.27, 12.87, 46.08, 35.59, 0.0, 0.0, 1.0, 0.0], [77.21, 14.45, 57.81, 29.33, 0.0, 0.0, 1.0, 0.0], [105.16, 12.14, 36.93, 31.27, 0.0, 0.0, 1.0, 0.0], [97.15, 14.51, 67.31, 29.54, 0.0, 0.0, 1.0, 0.0], [81.64, 13.95, 33.61, 32.47, 0.0, 0.0, 1.0, 0.0], [84.87, 14.12, 26.04, 35.05, 0.0, 0.0, 1.0, 0.0], [76.35, 14.27, 75.56, 30.3, 0.0, 0.0, 1.0, 0.0], [98.31, 11.72, 16.42, 28.2, 0.0, 0.0, 1.0, 0.0]]"
VEH-001,2025-12-13T11:02:20.121896+00:00,0,0,1,0.33393996666666664,0.22263907407407407,88.09666666666666,105.16,9.432297940822506,5.4538276305790925,13.608888888888888,11.72,-2.3673207847019135,66.37,30.4005941275961,-0.49444444444444474,0,0,0,1,0,11,5,9,0.6674211666666667,9,"[[84.27, 12.87, 46.08, 35.59, 0.0, 0.0, 1.0, 0.0], [77.21, 14.45, 57.81, 29.33, 0.0, 0.0, 1.0, 0.0], [105.16, 12.14, 36.93, 31.27, 0.0, 0.0, 1.0, 0.0], [97.15, 14.51, 67.31, 29.54, 0.0, 0.0, 1.0, 0.0], [81.64, 13.95, 33.61, 32.47, 0.0, 0.0, 1.0, 0.0], [84.87, 14.12, 26.04, 35.05, 0.0, 0.0, 1.0, 0.0], [76.35, 14.27, 75.56, 30.3, 0.0, 0.0, 1.0, 0.0], [98.31, 11.72, 16.42, 28.2, 0.0, 0.0, 1.0, 0.0], [87.91, 14.45, 66.37, 31.8, 0.0, 0.0, 1.0, 0.0]]"
VEH-001,2025-12-13T11:02:25.135829+00:00,0,0,1,0.25037441666666665,0.10566916666666663,88.779,105.16,9.179413325480013,14.181342710389272,13.430000000000001,11.72,1.3981605489116162,6.75,-52.37109941780373,-0.7330000000000002,0,0,0,1,0,11,5,10,0.7509867166666666,10,"[[84.27, 12.87, 46.08, 35.59, 0.0, 0.0, 1.0, 0.0], [77.21, 14.45, 57.81, 29.33, 0.0, 0.0, 1.0, 0.0], [105.16, 12.14, 36.93, 31.27, 0.0, 0.0, 1.0, 0.0], [97.15, 14.51, 67.31, 29.54, 0.0, 0.0, 1.0, 0.0], [81.64, 13.95, 33.61, 32.47, 0.0, 0.0, 1.0, 0.0], [84.87, 14.12, 26.04, 35.05, 0.0, 0.0, 1.0, 0.0], [76.35, 14.27, 75.56, 30.3, 0.0, 0.0, 1.0, 0.0], [98.31, 11.72, 16.42, 28.2, 0.0, 0.0, 1.0, 0.0], [87.91, 14.45, 66.37, 31.8, 0.0, 0.0, 1.0, 0.0], [94.92, 11.82, 6.75, 29.12, 0.0, 0.0, 1.0, 0.0]]"
